TI203,PI215,PI216,PI218,MP-1101,PI255A,TI405,TI401,FT402,T_wbulb,SSC_gros
180.4359436,9.709960938,9.764648438,9.873046875,61.50051498,0.164245605,53.19824219,28.19213867,7509.353027,16.47579193,7.494218826
180.375,9.709960938,9.7578125,9.854492188,61.46543121,0.162719727,53.08837891,28.17382813,7329.190918,16.20223999,7.460040569
180.4359436,9.712890625,9.76953125,9.869140625,61.52390289,0.16394043,53.25317383,28.29589844,7057.243652,16.59628296,7.490836143
180.4054718,9.725585938,9.782226563,9.880859375,61.47712708,0.164733887,53.3203125,28.33251953,7374.851074,16.5383358,7.48497057
180.4359436,9.729492188,9.784179688,9.876953125,61.47712708,0.165222168,53.44238281,28.36914063,7093.044434,16.86942482,7.498243809
180.3140564,9.638671875,9.563476563,9.713867188,60.5415802,0.164916992,53.31420898,28.68652344,7213.353516,17.04043198,7.587586403
180.375,9.559570313,9.469726563,9.639648438,60.16736221,0.162719727,53.36914063,28.69262695,7248.804688,17.9314003,7.653810024
180.2835999,9.528320313,9.443359375,9.626953125,59.9568634,0.163269043,53.14331055,28.78417969,7502.03418,17.3809433,7.628893375
180.2531281,9.51171875,9.427734375,9.580078125,59.86330795,0.162109375,53.08227539,28.515625,7242.486816,17.23511505,7.636302471
180.2531281,9.557617188,9.465820313,9.620117188,60.19075012,0.162475586,53.0090332,28.58276367,7207.851563,16.72077179,7.598874569
180.3445282,9.643554688,9.666015625,9.801757813,61.13798904,0.16394043,53.27758789,28.33862305,7245.435547,16.59146881,7.496725082
180.4359436,9.647460938,9.620117188,9.756835938,61.23154449,0.161071777,52.8503418,28.05175781,7190.895996,16.15338326,7.442198277
180.3445282,9.63671875,9.623046875,9.764648438,61.18476868,0.161499023,52.81982422,28.0456543,7367.398926,16.05762863,7.484363556
