PI255A,MP-1101,T_wbulb,TI401,PI215,TI203,FT402,PI218,TI405,PI216,SSC_gros
0.164733887,61.47712708,16.5383358,28.33251953,9.725585938,180.4054718,7374.851074,9.880859375,53.3203125,9.782226563,7.48497057
0.165222168,61.47712708,16.86942482,28.36914063,9.729492188,180.4359436,7093.044434,9.876953125,53.44238281,9.784179688,7.498243809
0.164916992,60.5415802,17.04043198,28.68652344,9.638671875,180.3140564,7213.353516,9.713867188,53.31420898,9.563476563,7.587586403
0.162719727,60.16736221,17.9314003,28.69262695,9.559570313,180.375,7248.804688,9.639648438,53.36914063,9.469726563,7.653810024
0.163269043,59.9568634,17.3809433,28.78417969,9.528320313,180.2835999,7502.03418,9.626953125,53.14331055,9.443359375,7.628893375
0.162109375,59.86330795,17.23511505,28.515625,9.51171875,180.2531281,7242.486816,9.580078125,53.08227539,9.427734375,7.636302471
0.162475586,60.19075012,16.72077179,28.58276367,9.557617188,180.2531281,7207.851563,9.620117188,53.0090332,9.465820313,7.598874569
0.16394043,61.13798904,16.59146881,28.33862305,9.643554688,180.3445282,7245.435547,9.801757813,53.27758789,9.666015625,7.496725082
0.161071777,61.23154449,16.15338326,28.05175781,9.647460938,180.4359436,7190.895996,9.756835938,52.8503418,9.620117188,7.442198277
0.161499023,61.18476868,16.05762863,28.0456543,9.63671875,180.3445282,7367.398926,9.764648438,52.81982422,9.623046875,7.484363556
